Time,RAM,CPU,,Time,RAM,AVG: 0.68632015140725,MIN
27:56.8,45.68752193,39.7610244,,0:07:16,0.522282394,0.686320151,
27:57.8,45.71729052,40.14165468,,0:07:17,0.552050979,0.686320151,
27:58.8,45.67369932,39.61027808,,0:07:18,0.508459774,0.686320151,
27:59.8,45.69382955,37.62126462,,0:07:19,0.528590009,0.686320151,
28:00.8,45.72020493,40.72234404,,0:07:20,0.55496539,0.686320151,
28:01.8,45.72299443,39.3113311,,0:07:21,0.557754887,0.686320151,
28:02.8,45.71697825,36.22887856,,0:07:22,0.551738707,0.686320151,
28:03.8,45.72405609,37.61543872,,0:07:23,0.558816549,0.686320151,
28:04.8,45.72085024,46.95995057,,0:07:24,0.555610703,0.686320151,
28:05.8,45.67650965,44.07513006,,0:07:25,0.51127011,0.686320151,
28:06.8,45.73140457,36.3268428,,0:07:26,0.566165033,0.686320151,
28:07.8,45.71375159,40.44205659,,0:07:27,0.548512046,0.686320151,
28:08.8,45.72901059,40.53214853,,0:07:28,0.563771045,0.686320151,
28:09.8,45.74651784,37.86416935,,0:07:29,0.581278303,0.686320151,
28:10.8,45.76256791,38.89162113,,0:07:30,0.597328367,0.686320151,
28:11.8,45.83413739,46.17691727,,0:07:31,0.668897852,0.686320151,
28:12.8,45.8436092,42.21532176,,0:07:32,0.678369659,0.686320151,
28:13.8,45.86461374,39.86425451,,0:07:33,0.699374196,0.686320151,
28:14.8,45.87999765,38.44155468,,0:07:34,0.714758109,0.686320151,
28:15.8,45.79785302,50.41845777,,0:07:35,0.632613478,0.686320151,
28:16.8,45.78992169,43.20996374,,0:07:36,0.624682149,0.686320151,
28:17.8,45.78446759,46.84136481,,0:07:37,0.619228045,0.686320151,
28:18.8,45.81754609,47.65339053,,0:07:38,0.65230655,0.686320151,
28:19.8,45.77645295,53.01117207,,0:07:39,0.611213409,0.686320151,
28:20.8,45.79785302,39.33066939,,0:07:40,0.632613478,0.686320151,
28:21.8,45.78694483,42.87525126,,0:07:41,0.621705293,0.686320151,
28:22.8,45.80869878,39.33540301,,0:07:42,0.643459242,0.686320151,
28:23.8,45.83315897,40.6640786,,0:07:43,0.667919428,0.686320151,
28:24.8,45.81188381,42.10263765,,0:07:44,0.646644272,0.686320151,
28:25.8,45.94009687,42.71691182,,0:07:45,0.774857332,0.686320151,
28:26.8,46.24438168,59.94333673,,0:07:46,1.07914214,0.686320151,
28:27.8,45.85774407,66.30649056,,0:07:47,0.692504528,0.686320151,
28:28.8,45.82543579,43.92728529,,0:07:48,0.66019625,0.686320151,
28:29.8,45.85759836,40.22050639,,0:07:49,0.692358823,0.686320151,
28:30.8,45.81304957,47.10679825,,0:07:50,0.647810032,0.686320151,
28:31.8,45.85918047,39.39908003,,0:07:51,0.69394093,0.686320151,
28:32.8,45.86192834,36.34384272,,0:07:52,0.696688797,0.686320151,
28:33.8,45.87127525,39.55282345,,0:07:53,0.706035714,0.686320151,
28:34.8,45.86875638,41.82171121,,0:07:54,0.703516836,0.686320151,
28:35.8,45.86584197,38.21241665,,0:07:55,0.700602424,0.686320151,
28:36.8,45.87937313,45.89434342,,0:07:56,0.714133587,0.686320151,
28:37.8,45.84608645,41.63281672,,0:07:57,0.680846907,0.686320151,
28:38.8,45.86448885,41.44997081,,0:07:58,0.699249306,0.686320151,
28:39.8,45.83282591,41.51126927,,0:07:59,0.667586364,0.686320151,
28:40.8,45.85759836,36.45267084,,0:08:00,0.692358823,0.686320151,
28:41.8,45.88201692,40.66644354,,0:08:01,0.716777379,0.686320151,
28:42.8,45.8838072,41.65037078,,0:08:02,0.71856766,0.686320151,
28:43.8,45.90739306,37.83953318,,0:08:03,0.742153521,0.686320151,
28:44.8,45.83603175,41.18958089,,0:08:04,0.670792209,0.686320151,
28:45.8,45.85947191,40.31554352,,0:08:05,0.694232364,0.686320151,
28:46.8,45.82760079,37.46895641,,0:08:06,0.662361249,0.686320151,
28:47.8,45.83809265,38.41657017,,0:08:07,0.67285311,0.686320151,
28:48.8,45.83954984,36.85889002,,0:08:08,0.674310303,0.686320151,
28:49.8,45.8426308,40.8072163,,0:08:09,0.677391258,0.686320151,
28:50.8,45.87876944,39.5462006,,0:08:10,0.713529904,0.686320151,
28:51.8,45.83800939,48.50489541,,0:08:11,0.672769849,0.686320151,
28:52.8,45.85676567,38.86936037,,0:08:12,0.691526127,0.686320151,
28:53.8,45.82626849,43.03572589,,0:08:13,0.661028945,0.686320151,
28:54.8,45.85589134,39.32861848,,0:08:14,0.690651802,0.686320151,
28:55.8,45.87127525,37.86690955,,0:08:15,0.706035714,0.686320151,
28:56.8,45.88112178,40.5630725,,0:08:16,0.715882238,0.686320151,
28:57.8,45.87862372,39.3540589,,0:08:17,0.713384175,0.686320151,
28:58.8,45.87943557,36.72885501,,0:08:18,0.714196032,0.686320151,
28:59.8,45.86255284,36.9059995,,0:08:19,0.697313296,0.686320151,
29:00.8,45.85395536,53.18171983,,0:08:20,0.688715815,0.686320151,
