Time,RAM,,Time,RAM,AVG: 0.705007555657412,MIN,CPU
09:27.8,48.04029135,,04:46.0,0.938858814,0.705007556,,44.04595055
09:28.8,48.15207921,,04:47.0,1.050646673,0.705007556,,50.02543039
09:29.8,48.15233779,,04:48.0,1.050905255,0.705007556,,56.58672131
09:30.8,48.15625633,,04:49.0,1.054823795,0.705007556,,61.52721529
09:31.8,48.15595796,,04:50.0,1.054525422,0.705007556,,56.96965496
09:32.8,48.15583861,,04:51.0,1.054406073,0.705007556,,59.0459987
09:33.8,48.01534795,,04:52.0,0.913915411,0.705007556,,54.01215801
09:34.8,48.0201417,,04:53.0,0.918709161,0.705007556,,38.74829103
09:35.8,48.04060961,,04:54.0,0.93917707,0.705007556,,38.72447922
09:36.8,48.02364252,,04:55.0,0.922209979,0.705007556,,43.18489527
09:37.8,48.03406544,,04:56.0,0.932632899,0.705007556,,42.86195357
09:38.8,48.02406024,,04:57.0,0.922627701,0.705007556,,41.24340978
09:39.8,48.02718313,,04:58.0,0.925750588,0.705007556,,38.60902557
09:40.8,48.01463186,,04:59.0,0.913199317,0.705007556,,34.9679721
09:41.8,48.01467165,,05:00.0,0.913239108,0.705007556,,32.28318115
09:42.8,48.01554686,,05:01.0,0.914114318,0.705007556,,36.78051224
09:43.8,48.02310547,,05:02.0,0.921672932,0.705007556,,36.49848308
09:44.8,48.02093733,,05:03.0,0.91950479,0.705007556,,34.54551778
09:45.8,48.02288666,,05:04.0,0.921454118,0.705007556,,32.99156912
09:46.8,48.01510925,,05:05.0,0.913676713,0.705007556,,36.7056011
09:47.8,48.00508415,,05:06.0,0.903651607,0.705007556,,35.2598482
09:48.8,47.98181158,,05:07.0,0.880379044,0.705007556,,31.41934258
09:49.8,47.99599393,,05:08.0,0.894561387,0.705007556,,31.86341991
09:50.8,48.0076501,,05:09.0,0.906217564,0.705007556,,31.58883512
09:51.8,48.0243387,,05:10.0,0.922906166,0.705007556,,31.46118147
09:52.8,48.27683604,,05:11.0,1.175403502,0.705007556,,41.9879675
09:53.8,48.33247137,,05:12.0,1.231038827,0.705007556,,51.72967038
09:54.8,48.0109918,,05:13.0,0.909559266,0.705007556,,37.81978596
09:55.8,48.01081278,,05:14.0,0.909380242,0.705007556,,31.17523978
09:56.8,48.02831692,,05:15.0,0.92688438,0.705007556,,37.92396541
09:57.8,48.04820799,,05:16.0,0.946775452,0.705007556,,32.37064611
09:58.8,48.03993331,,05:17.0,0.938500767,0.705007556,,34.66581484
09:59.8,48.01035529,,05:18.0,0.908922754,0.705007556,,39.10446368
10:00.8,48.00757052,,05:19.0,0.906137983,0.705007556,,32.17464261
10:01.8,48.00723238,,05:20.0,0.905799843,0.705007556,,38.75073156
10:02.8,48.00323428,,05:21.0,0.901801745,0.705007556,,34.64584981
10:03.8,48.00128496,,05:22.0,0.899852417,0.705007556,,31.28544283
10:04.8,48.00052909,,05:23.0,0.899096555,0.705007556,,31.38988848
10:05.8,47.99543697,,05:24.0,0.894004433,0.705007556,,31.76732773
10:06.8,48.00038986,,05:25.0,0.898957323,0.705007556,,33.12978064
10:07.8,48.01228471,,05:26.0,0.910852174,0.705007556,,31.80234451
10:08.8,48.01168799,,05:27.0,0.910255453,0.705007556,,31.06620996
10:09.8,47.98139388,,05:28.0,0.879961346,0.705007556,,33.63212843
10:10.8,47.98105572,,05:29.0,0.879623182,0.705007556,,31.42754667
10:11.8,47.97868869,,05:30.0,0.877256156,0.705007556,,38.87283512
